,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
263,Kununurra,0,AU,1536219000,22,-15.77,128.74,98.6,4.7
264,Hisua,75,IN,1536219000,70,24.84,85.42,87.8,11.41
265,Waingapu,0,ID,1536220111,51,-9.65,120.26,84.92,9.42
266,Menongue,64,AO,1536220112,63,-14.66,17.68,70.7,5.73
267,Cabedelo,100,BR,1536220112,100,-6.97,-34.84,74.84,11.32
268,Hambantota,0,LK,1536220112,82,6.12,81.12,85.55,20.15
269,Atherton,75,GB,1536218400,81,53.52,-2.49,57.2,3.36
270,Provost,8,CA,1536220113,70,52.35,-110.26,41.09,3.71
271,Saint-Leu,0,RE,1536217200,44,-21.15,55.28,78.8,5.82
272,Kerema,100,PG,1536220114,99,-7.96,145.78,71.6,1.14
273,Beaverlodge,90,CA,1536217200,87,55.21,-119.43,48.2,3.36
274,Umm Lajj,32,SA,1536220115,66,25.02,37.27,95.0,3.38
275,Sembakung,76,ID,1536220115,64,3.82,117.25,86.81,3.27
276,Joshimath,48,IN,1536220116,100,30.57,79.57,39.02,0.58
277,Saint-Pierre,64,FR,1536217200,93,48.95,4.24,64.4,5.82
278,Vandra,0,IT,1536220117,50,41.66,14.19,77.81,3.04
279,Tazovskiy,92,RU,1536220117,100,67.47,78.7,47.21,7.85
280,Laguna,0,MX,1536220118,91,27.52,-110.01,76.64,0.81
281,Shimoda,75,JP,1536217200,88,34.7,138.93,80.6,13.87
282,Sooke,20,CA,1536217200,62,48.37,-123.73,60.98,3.36
283,Mitu,0,IR,1536220119,17,36.2,46.09,84.02,5.17
284,San Cristobal,40,EC,1536217200,93,-0.39,-78.55,39.2,2.24
285,Usinsk,76,RU,1536220120,83,66.0,57.56,57.92,5.39
286,Dunedin,0,NZ,1536220107,92,-45.87,170.5,36.32,9.42
287,Vao,32,EE,1536220121,87,59.1,26.19,69.35,4.61
288,Bonavista,68,CA,1536220121,93,48.65,-53.11,55.22,9.08
289,Pahrump,1,US,1536217080,27,36.21,-115.98,86.0,4.7
290,Vikhorevka,90,RU,1536217200,93,56.12,101.17,50.0,8.95
291,Kloulklubed,75,PW,1536216840,70,7.04,134.26,86.0,11.41
292,Manta,20,RO,1536220123,76,45.1,24.1,72.68,2.59
293,Kutum,0,SD,1536220123,57,14.2,24.66,83.57,10.76
294,Pacific Grove,1,US,1536219300,87,36.62,-121.92,57.92,3.49
295,Villamontes,0,BO,1536220124,55,-21.26,-63.47,56.03,5.17
296,Portland,1,US,1536216960,62,45.52,-122.67,71.96,2.15
297,Austin,40,US,1536218100,100,30.27,-97.74,77.0,2.59
298,Waipawa,92,NZ,1536220125,92,-39.94,176.59,45.23,16.24
299,Peterhead,20,AU,1536219000,62,-34.83,138.5,55.4,18.34
300,Cabo San Lucas,0,MX,1536219914,100,22.89,-109.91,83.12,10.65
301,Miri,56,NG,1536220126,97,10.31,9.75,75.92,4.16
302,Merrill,0,US,1536220127,70,42.03,-121.6,51.53,1.7
303,Doha,0,QA,1536217200,57,25.29,51.53,100.4,6.93
304,Suileng,76,CN,1536220128,81,47.25,127.08,59.18,8.19
305,Toamasina,75,MG,1536217200,73,-18.17,49.38,77.0,6.93
306,Mehamn,0,NO,1536216600,66,71.03,27.85,51.8,10.29
307,Port Lincoln,68,AU,1536220129,88,-34.72,135.86,54.14,14.0
308,Touros,92,BR,1536220129,87,-5.2,-35.46,76.28,12.66
309,Pokhara,80,NP,1536220130,87,28.21,83.99,71.42,1.92
310,Riyadh,0,SA,1536217200,7,24.63,46.72,102.2,6.93
311,Charleston,40,US,1536216840,100,38.35,-81.63,73.04,2.59
312,Oga,92,NG,1536220131,100,8.18,5.65,71.78,1.92
313,Lakhdenpokhya,76,RU,1536220131,92,61.52,30.2,63.95,4.16
314,Santa Paula,90,US,1536218580,87,34.35,-119.06,71.96,2.59
315,Segezha,64,RU,1536220132,89,63.74,34.31,65.03,4.16
316,Rio Grande,0,BR,1536220067,94,-32.03,-52.1,53.69,12.44
317,Grand-Santi,0,GF,1536220133,98,4.27,-54.38,73.58,2.04
318,Grand Gaube,75,MU,1536217200,65,-20.01,57.66,78.8,16.11
319,Katangli,0,RU,1536220134,85,51.71,143.23,58.37,11.65
320,Ilebo,76,CD,1536220135,91,-4.33,20.59,75.02,2.93
321,Pedernales,92,EC,1536220135,96,0.07,-80.05,70.52,4.38
322,Dinard,75,FR,1536218400,77,48.63,-2.06,62.6,12.75
323,Ginda,64,IN,1536220136,100,30.69,78.49,65.57,1.14
324,Concarneau,0,FR,1536217200,87,47.88,-3.92,59.0,9.17
325,Longyearbyen,75,NO,1536218400,100,78.22,15.63,39.2,12.75
326,Havre-Saint-Pierre,90,CA,1536218220,100,50.23,-63.6,57.2,8.05
327,Samarai,92,PG,1536220138,100,-10.62,150.67,76.37,18.7
328,Coos Bay,90,US,1536218100,100,43.37,-124.22,53.6,1.03
329,Bouillante,75,FR,1536217200,77,48.53,-1.73,62.6,12.75
330,Arlit,0,NE,1536220140,33,18.74,7.39,93.92,4.72
331,Puerto Escondido,8,MX,1536220141,100,15.86,-97.07,83.39,7.4
332,Dickinson,20,US,1536216960,60,46.88,-102.79,53.06,11.41
333,Tooele,1,US,1536218100,40,40.53,-112.3,69.98,10.29
334,Tela,32,HN,1536220143,96,15.78,-87.45,71.96,2.48
335,Necochea,0,AR,1536220143,71,-38.55,-58.74,57.92,10.09
336,Cardoso,0,BR,1536220143,87,-20.08,-49.91,54.41,8.75
337,Hasaki,75,JP,1536217980,61,35.73,140.83,84.2,8.05
338,Lavrentiya,56,RU,1536220144,89,65.58,-170.99,48.47,7.96
339,Ilhabela,0,BR,1536220145,100,-23.78,-45.36,66.74,5.73
340,Myaundzha,92,RU,1536220145,97,63.05,147.18,43.07,8.63
341,Whitehorse,75,CA,1536217200,81,60.72,-135.06,44.6,2.24
342,Severo-Kurilsk,92,RU,1536220146,99,50.68,156.12,50.54,16.13
343,Bontang,44,ID,1536220146,91,0.12,117.47,83.57,6.62
344,Cochrane,80,CL,1536220147,99,-47.25,-72.57,28.13,0.81
345,Bangangte,88,CM,1536220147,97,5.14,10.52,69.26,3.94
346,Changli,100,CN,1536220147,64,30.54,105.42,74.48,4.27
347,Wanning,20,AT,1536216600,82,48.64,13.53,60.8,1.12
348,Yarmouth,0,GB,1536218400,87,50.71,-1.5,51.8,4.7
349,Namibe,12,AO,1536220149,99,-15.19,12.15,64.22,12.44
350,Juneau,20,US,1536216960,92,58.3,-134.42,48.02,1.48
351,Mangan,64,IN,1536220149,83,27.5,88.54,52.52,1.92
352,Pyaozerskiy,92,RU,1536220150,97,65.83,31.17,54.5,5.39
353,Lake Cowichan,20,CA,1536217200,62,48.82,-124.05,59.0,3.36
354,Half Moon Bay,90,US,1536219600,87,37.46,-122.43,60.98,4.94
355,Tecoanapa,75,MX,1536216300,83,16.99,-99.26,77.0,6.93
356,Santa Fe,0,AR,1536220007,62,-31.62,-60.7,58.19,12.44
357,Aksarka,92,RU,1536220152,90,66.56,67.8,54.05,9.42
358,Cotonou,75,BJ,1536217200,94,6.37,2.43,77.0,6.93
359,Hay River,20,CA,1536217200,86,60.82,-115.79,33.8,3.36
360,Iwanai,0,JP,1536220153,83,42.97,140.51,70.97,14.67
361,Saint-Avold,48,FR,1536219000,77,49.1,6.71,66.2,4.7
362,Port Hardy,75,CA,1536217200,93,50.7,-127.42,50.0,1.48
363,Nyurba,92,RU,1536220155,96,63.29,118.35,37.58,10.76
364,Sao Filipe,12,CV,1536220155,99,14.9,-24.5,79.25,7.29
365,Clearwater,1,US,1536219300,100,27.97,-82.8,80.96,7.85
366,Comodoro Rivadavia,0,AR,1536217200,46,-45.87,-67.48,50.0,16.11
367,Tayga,88,RU,1536220157,92,64.77,43.49,60.17,3.71
368,Bilma,8,NE,1536220157,17,18.69,12.92,98.33,4.5
369,Teyateyaneng,92,LS,1536220158,27,-29.15,27.74,69.62,16.8
370,Broken Hill,0,AU,1536220158,35,-31.97,141.45,64.4,13.44
371,Dumai,64,ID,1536220159,79,1.68,101.45,83.57,2.93
372,Warrensburg,90,US,1536219300,94,38.76,-93.74,73.4,3.36
373,Smithers,75,CA,1536217200,93,54.78,-127.17,48.2,1.81
374,Lere,48,TD,1536220160,98,9.66,14.23,78.35,7.4
375,Sao Joao da Barra,92,BR,1536220160,100,-21.64,-41.05,70.07,15.79
376,Kavieng,56,PG,1536220161,100,-2.57,150.8,84.29,7.52
377,Cayenne,75,GF,1536219000,100,4.94,-52.33,75.2,7.4
378,Basco,90,US,1536219780,100,40.33,-91.2,71.6,4.7
379,Takoradi,48,GH,1536220162,94,4.89,-1.75,77.45,7.74
380,Ijuin,75,JP,1536217200,78,31.62,130.4,82.4,10.29
381,Saint-Joseph,75,FR,1536219000,73,43.56,6.97,73.4,3.36
382,Kungurtug,0,RU,1536220163,45,50.6,97.53,51.8,4.27
383,Te Anau,0,NZ,1536220063,89,-45.41,167.72,31.91,2.59
384,Bajah,0,YE,1536220164,33,13.81,44.63,84.2,2.04
385,Pontianak,40,ID,1536219000,55,-0.02,109.34,89.6,4.7
386,Lata,64,IN,1536220166,100,30.78,78.62,65.57,1.14
387,Tadine,0,NC,1536220166,100,-21.55,167.88,69.8,20.27
388,Abalak,0,NE,1536220167,61,15.46,6.28,88.07,11.77
389,Kamennogorsk,90,RU,1536218400,100,60.95,29.13,59.0,1.12
390,Kaeo,92,NZ,1536220168,97,-35.1,173.78,48.47,16.46
391,Itarema,92,BR,1536220168,90,-2.92,-39.92,76.55,11.65
392,Karmaskaly,0,RU,1536217200,48,54.37,56.17,66.2,4.47
393,Mandera,0,ET,1536220169,42,3.94,41.86,90.05,13.0
394,Kathmandu,40,NP,1536218400,65,27.71,85.32,82.4,9.17
395,Nassau,0,DE,1536218400,60,51.17,13.51,68.0,5.82
396,Yarim,32,YE,1536220170,14,14.3,44.38,84.38,6.73
397,Nador,20,MA,1536219000,78,35.17,-2.93,73.4,9.17
398,Gumdag,0,TM,1536220171,16,39.2,54.59,89.6,16.8
399,Macapa,24,BR,1536220171,94,0.05,-51.07,79.07,8.19
400,Tabou,92,CI,1536220171,100,4.42,-7.36,77.0,10.42
401,Maceio,40,BR,1536217200,88,-9.67,-35.74,68.0,2.24
402,Moron,68,VE,1536220172,100,10.49,-68.2,66.92,2.04
403,Atchison,90,US,1536216840,100,39.56,-95.12,71.96,11.41
404,Rosario,0,UY,1536220173,71,-34.31,-57.35,54.41,13.11
405,Bolnisi,0,GE,1536219000,53,41.45,44.54,77.0,5.82
406,Lorengau,12,PG,1536220174,100,-2.02,147.27,81.68,10.65
407,Mayya,40,RU,1536217200,81,61.74,130.28,42.8,6.71
408,Kamaishi,40,JP,1536217200,51,39.28,141.86,82.4,6.93
409,Lagoa,0,PT,1536217200,77,37.14,-8.45,64.4,5.82
410,Clyde River,1,CA,1536217200,99,70.47,-68.59,35.6,3.36
411,Taltal,8,CL,1536220176,95,-25.41,-70.49,46.58,0.58
412,Erzin,40,TR,1536216600,58,36.95,36.2,86.0,19.46
413,Emerald,20,AU,1536220177,42,-23.53,148.16,73.4,8.75
414,Saint-Junien,92,FR,1536219000,93,45.89,0.9,62.6,2.24
415,Los Llanos de Aridane,40,ES,1536219000,78,28.66,-17.92,73.4,11.41
416,Fjerritslev,92,DK,1536220178,82,57.08,9.27,65.84,8.75
417,Siavonga,0,ZW,1536220179,36,-16.54,28.71,87.44,12.21
418,Leshukonskoye,12,RU,1536220179,72,64.9,45.76,66.47,3.49
419,Erenhot,64,CN,1536220179,51,43.65,111.97,60.26,19.82
420,Anzhero-Sudzhensk,0,RU,1536220180,61,56.08,86.02,65.3,6.85
421,Invermere,0,CA,1536220180,74,50.51,-116.03,38.48,1.03
422,Moses Lake,1,US,1536216780,40,47.13,-119.28,66.02,5.82
423,Alenquer,20,BR,1536217200,100,-1.95,-54.74,73.4,3.36
424,Ossora,92,RU,1536220181,99,59.24,163.07,51.17,10.42
425,Sorland,0,NO,1536218400,87,67.67,12.69,51.8,2.24
426,Lazaro Cardenas,56,MX,1536220182,96,28.39,-105.62,61.16,3.38
427,Nkawkaw,88,GH,1536220182,84,6.55,-0.77,76.82,7.18
428,Qaqortoq,92,GL,1536216600,70,60.72,-46.03,44.6,11.41
429,Jaisalmer,0,IN,1536220183,49,26.91,70.91,93.47,10.2
430,Santa Isabel do Rio Negro,36,BR,1536220184,94,-0.41,-65.02,73.94,3.15
431,Quelimane,0,MZ,1536219890,71,-17.88,36.89,86.72,11.99
432,Dudhani,32,IN,1536220184,47,17.36,76.37,89.87,15.57
433,Hoogeveen,100,NL,1536218700,93,52.72,6.48,62.6,1.12
434,Jiuquan,0,CN,1536220185,42,39.73,98.49,57.47,10.2
435,Yulara,0,AU,1536217200,14,-25.24,130.99,77.0,4.7
436,Shahreza,0,IR,1536220186,19,32.01,51.87,82.67,2.15
437,Punta Alta,0,AR,1536217200,76,-27.46,-55.82,57.2,5.82
438,Maragogi,48,BR,1536220186,96,-9.01,-35.22,71.78,4.72
439,Marsa Matruh,0,EG,1536220187,54,31.35,27.25,86.9,15.23
440,Namatanai,20,PG,1536220187,100,-3.66,152.44,81.5,3.49
441,Dera Bugti,0,PK,1536220188,45,29.03,69.15,96.17,6.06
442,Sestri Levante,0,IT,1536216900,88,44.27,9.41,71.6,4.7
443,Mlonggo,0,ID,1536220188,65,-6.53,110.7,86.0,11.99
444,Seddon,0,NZ,1536220189,100,-41.67,174.07,46.4,17.47
445,Chalmette,20,US,1536219360,96,29.94,-89.96,80.06,3.36
446,Vanavara,68,RU,1536220190,50,60.35,102.28,49.37,7.52
447,Key West,1,US,1536218100,70,47.93,-96.78,46.4,2.93
448,Campeche,0,MX,1536220190,100,19.84,-90.54,79.07,8.3
449,Tirlyanskiy,44,RU,1536220191,53,54.22,58.58,60.44,4.5
450,Oistins,40,BB,1536217200,78,13.07,-59.53,80.6,9.17
451,Coolum Beach,0,AU,1536220191,87,-26.53,153.09,64.4,6.17
452,Moose Factory,1,CA,1536217200,93,51.26,-80.61,44.6,6.93
453,Cambridge,75,GB,1536218580,76,52.2,0.12,57.2,4.7
454,Shrewsbury,75,GB,1536218400,82,52.71,-2.75,57.2,1.12
455,Matamoros,1,US,1536216780,90,25.87,-97.51,82.94,4.7
456,Lillooet,1,CA,1536217200,54,50.69,-121.94,59.0,3.36
457,San Andres,92,PH,1536220195,100,13.32,122.68,76.19,9.19
458,Hobyo,8,SO,1536220195,68,5.35,48.53,82.58,18.7
459,Yumen,0,CN,1536220196,22,40.29,97.04,68.81,19.71
460,Chumikan,92,RU,1536220196,99,54.72,135.31,54.41,2.93
461,Jumla,80,NP,1536220196,100,29.28,82.18,52.16,0.36
462,Port-Cartier,90,CA,1536217200,100,50.03,-66.88,53.6,9.17
463,Bhanpura,44,IN,1536220197,88,24.51,75.75,81.32,8.3
464,Ayan,64,TR,1536220198,83,40.67,33.6,63.77,2.59
465,Grindavik,0,IS,1536219000,93,63.84,-22.43,46.4,10.29
466,Kitimat,75,CA,1536217200,71,54.02,-128.69,57.2,23.04
467,Mankato,1,US,1536218100,81,44.16,-94.0,57.02,5.82
468,San Ramon de la Nueva Oran,0,AR,1536220200,66,-23.13,-64.33,52.25,1.81
469,Pundaguitan,48,PH,1536220200,93,6.37,126.17,85.91,7.96
470,Zavyalovo,0,RU,1536217200,48,54.51,82.45,64.4,6.71
471,Bandundu,56,CD,1536220201,97,-3.32,17.38,78.17,4.16
472,Mahon,75,IE,1536219000,82,51.89,-8.4,55.4,11.41
473,Toktogul,0,KG,1536220202,29,41.87,72.95,67.91,2.59
474,Hamilton,40,BM,1536216900,74,32.3,-64.78,80.6,9.17
475,Zhangye,0,CN,1536220203,51,38.94,100.46,65.57,4.94
476,Trinidad,0,UY,1536220203,89,-33.52,-56.9,48.29,9.42
477,Tura,20,IN,1536220204,94,25.52,90.21,82.67,3.15
478,Prince Rupert,20,CA,1536217200,93,54.32,-130.32,53.6,4.7
479,Tavda,68,RU,1536220204,58,58.04,65.27,63.14,5.28
480,Beira,75,ES,1536219000,93,43.2,-8.36,62.6,4.7
481,Lovington,1,US,1536218100,88,32.94,-103.35,68.0,6.93
482,Drumheller,0,CA,1536220205,62,51.47,-112.7,43.52,5.39
483,Hagere Selam,68,ET,1536220206,100,6.48,38.52,63.14,4.16
484,Wadi Musa,0,JO,1536220066,47,30.32,35.48,86.27,2.15
485,Presidente Medici,0,BR,1536220207,71,-11.18,-61.9,61.43,3.04
486,Nouadhibou,36,MR,1536217200,83,20.93,-17.03,69.8,9.17
487,Manoharpur,88,IN,1536220207,100,22.35,85.21,77.72,3.6
488,Milkovo,12,BG,1536219000,57,41.53,24.68,77.0,18.34
489,Zhezkazgan,0,KZ,1536217200,32,47.8,67.71,68.0,15.66
490,Colares,90,PT,1536217200,93,38.8,-9.45,66.2,6.93
491,Schwerin,75,DE,1536219420,93,53.63,11.41,60.8,9.17
492,Gulfport,75,US,1536219360,90,30.37,-89.09,80.96,2.26
493,Havelock,1,US,1536218160,100,34.88,-76.9,75.02,3.15
494,Bilibino,68,RU,1536220211,72,68.06,166.44,51.08,4.38
495,Beltangadi,92,IN,1536220211,100,13.98,75.3,73.22,4.94
496,Shiyan,92,CN,1536220212,55,32.65,110.78,74.57,3.04
497,Hashtrud,0,IR,1536220212,21,37.48,47.05,82.76,10.2
498,Zhangjiakou,56,CN,1536220212,41,40.77,114.88,61.07,17.13
499,Nuuk,56,GL,1536216600,100,64.17,-51.74,41.0,8.05
500,Nayoro,0,JP,1536220213,64,44.36,142.46,68.54,9.31
501,New Castle,1,US,1536216960,100,41.0,-80.35,77.0,2.93
502,Mwinilunga,0,ZM,1536220214,25,-11.73,24.43,86.0,4.16
503,Baykit,56,RU,1536220214,58,61.68,96.39,48.92,7.96
504,Sergeyevka,20,KZ,1536220215,70,53.88,67.42,60.98,4.72
505,Strezhevoy,0,RU,1536217200,64,60.73,77.6,68.0,2.24
506,Inta,76,RU,1536220215,72,66.04,60.13,61.16,6.85
507,Tual,0,ID,1536220216,95,-5.67,132.75,82.67,5.17
508,Matagami,36,NG,1536220216,98,9.67,8.4,73.22,4.05
509,Agirish,0,RU,1536220217,49,61.92,63.02,68.81,3.6
510,Poum,0,MK,1536217200,68,41.28,20.71,66.2,1.12
511,Ipira,0,BR,1536220218,100,-27.41,-51.77,42.71,7.96
512,Nkhotakota,20,MW,1536220218,81,-12.93,34.3,74.3,3.04
513,Deputatskiy,76,RU,1536220218,64,69.3,139.9,43.43,4.94
514,Cockburn Town,24,TC,1536220219,100,21.46,-71.14,81.14,14.9
515,Kokopo,20,PG,1536220219,100,-4.34,152.27,78.62,4.38
516,Mporokoso,0,ZM,1536220219,34,-9.37,30.12,83.48,10.76
517,Capao Bonito,0,BR,1536220220,90,-24.01,-48.35,46.04,7.07
518,Salinas,1,US,1536219300,87,36.67,-121.66,57.92,3.49
519,Letka,0,BA,1536217200,60,43.74,17.27,69.8,2.24
520,Fairbanks,90,US,1536217080,93,64.84,-147.72,51.98,7.4
521,Santa Rosa,0,AR,1536220223,36,-36.62,-64.29,54.95,14.23
522,Morondava,0,MG,1536220224,59,-20.3,44.28,86.99,7.63
523,Una,88,BR,1536220224,100,-15.29,-39.07,74.84,6.62
524,Clarence Town,0,AU,1536219000,68,-32.59,151.78,64.4,10.29
525,Havre de Grace,1,US,1536218820,94,39.55,-76.09,82.04,2.71
526,Nadym,8,RU,1536220225,70,65.53,72.51,66.47,10.76
